   ,id                     ,title                                               ,artist                   ,danceability ,energy ,key ,loudness ,acousticness ,instrumentalness ,liveness ,valence ,tempo   ,duration_ms ,time_signature
 0 ,6f0vJU8my3VKiLlHkUyO4K ,Everything Is Going to Be Okay                      ,Mick Gordon              ,       0.332 , 0.631 ,  5 ,-9.296   ,    0.591    ,0.811            ,  0.142  , 0.0788 ,180.052 ,     149333 ,             3
 1 ,5w7LSuYZNCeCpi2Ytisska ,Never Wanna Fall in Love With U                     ,nelward                  ,       0.924 , 0.592 ,  1 ,-6.898   ,    0.028    ,5.37e-06         ,  0.138  , 0.968  , 93.0   ,     181301 ,             4
 2 ,0OFSdfkFF5wLszOz0csftu ,Our Love (from the series Arcane League of Legends) ,Curtis Harding           ,       0.574 , 0.764 ,  1 ,-5.286   ,    0.104    ,4.94e-06         ,  0.107  , 0.621  ,105.822 ,     218249 ,             4
 3 ,6Dk5fHTvH897XrVzCO64Mx ,What You Won't Do for Love                          ,Bobby Caldwell           ,       0.642 , 0.396 ,  6 ,-16.843  ,    0.462    ,0.000823         ,  0.106  , 0.797  , 84.082 ,     286493 ,             4
 4 ,7p3acA0XUBTmECFSQmtlku ,Obsessed With You                                   ,The Orion Experience     ,       0.785 , 0.722 ,  5 ,-6.096   ,    0.0149   ,0.0              ,  0.315  , 0.961  ,117.963 ,     206655 ,             4
 5 ,1Eolhana7nKHYpcYpdVcT5 ,Little Wing                                         ,Jimi Hendrix             ,       0.515 , 0.534 ,  6 ,-8.045   ,    0.181    ,0.00278          ,  0.0547 , 0.426  , 70.776 ,     145747 ,             4
 6 ,4IQ0Qa0xJ5ZgbzZ2jyrxC0 ,Because - 2019 - Remaster                           ,The Dave Clark Five      ,       0.712 , 0.508 ,  7 ,-9.562   ,    0.441    ,1.13e-05         ,  0.286  , 0.796  ,123.002 ,     142425 ,             4
 7 ,1MHmXIdft756fcAD2jRTwo ,Long Long Time - Remastered                         ,Linda Ronstadt           ,       0.428 , 0.318 ,  9 ,-8.245   ,    0.783    ,1.33e-06         ,  0.342  , 0.289  , 90.677 ,     262213 ,             4
 8 ,4Nw7kywWurWS6ceinn1cHK ,Baby Powder                                         ,Jenevieve                ,       0.799 , 0.452 ,  1 ,-7.641   ,    0.238    ,0.000133         ,  0.0878 , 0.732  , 78.461 ,     176760 ,             3
 9 ,6WKXaHvZIqMnPVYF4G2b8e ,"Heartbeat,Heartbreak"                              ,平田志穂子                ,       0.826 , 0.716 ,  5 ,-9.121   ,    0.0865   ,4.62e-06         ,  0.11   , 0.692  ,100.012 ,     135227 ,             4
10 ,2grjqo0Frpf2okIBiifQKs ,September                                           ,"Earth, Wind & Fire"     ,       0.697 , 0.832 ,  9 ,-7.264   ,    0.168    ,0.00131          ,  0.269  , 0.979  ,125.926 ,     215093 ,             4
11 ,2wZEmflSDUfj2Y7AgCqpRm ,Can't Read Velvet                                   ,Humbug                   ,       0.55  , 0.642 ,  3 ,-7.971   ,    0.179    ,3.08e-06         ,  0.0755 , 0.441  ,116.309 ,     224001 ,             4
12 ,1op97WrEz8VVwwqJOvP5EG ,"Cittá Vuota (From ""Luca"")"                       ,Geek Music               ,       0.833 , 0.432 , 10 ,-9.001   ,    0.106    ,0.000587         ,  0.138  , 0.554  ,108.87  ,     155005 ,             4
13 ,6EjJYKQP8SLlfeeKSD3ErE ,Thank You                                           ,Macross 82-99            ,       0.545 , 0.938 , 11 ,-8.646   ,    0.0527   ,0.817            ,  0.109  , 0.0968 ,113.973 ,     165724 ,             4
14 ,1nFtiJxYdhtFfFtfXBv06s ,Something In The Way                                ,Nirvana                  ,       0.427 , 0.201 ,  8 ,-13.044  ,    0.745    ,0.263            ,  0.109  , 0.0668 ,105.218 ,     232147 ,             4
15 ,5eoDYL4BDf1vWkvzbnKSG8 ,raspberry pie                                       ,nelward                  ,       0.697 , 0.884 ,  2 ,-6.258   ,    0.00906  ,0.0              ,  0.0958 , 0.447  ,132.079 ,     224540 ,             4
16 ,5zB7iS5OGvMEvLPTcbkaAe ,Sài Gòn                                             ,Carol Kim                ,       0.627 , 0.426 ,  7 ,-10.661  ,    0.257    ,0.0              ,  0.244  , 0.965  ,117.006 ,     188583 ,             4
17 ,2hpd0I53AeEGXx4dGUPMT7 ,Save A Little Bit                                   ,Juliana Chahayed         ,       0.629 , 0.459 ,  1 ,-7.189   ,    0.526    ,0.000216         ,  0.141  , 0.597  ,168.093 ,     219000 ,             4
18 ,1ko2lVN0vKGUl9zrU0qSlT ,Just the Two of Us (feat. Bill Withers)             ,"Grover Washington, Jr." ,       0.749 , 0.497 , 10 ,-12.609  ,    0.41     ,0.0499           ,  0.0504 , 0.585  , 95.818 ,     438493 ,             4
19 ,21Fai3HTlFEb45QLQ5jNb5 ,Night In Tokyo Pt. II                               ,Macross 82-99            ,       0.54  , 0.883 ,  1 ,-8.237   ,    0.00428  ,0.682            ,  0.235  , 0.593  ,102.121 ,     174118 ,             4
20 ,5MYFw4T2gy52pOGBN4EYHS ,Stay Fly                                            ,Three 6 Mafia            ,       0.789 , 0.881 , 11 ,-5.758   ,    0.109    ,0.0              ,  0.355  , 0.647  ,133.299 ,     236600 ,             4
21 ,6QbcnA5zCrjiZIUBzAP4nY ,I'm a Ram                                           ,Al Green                 ,       0.848 , 0.499 , 11 ,-10.176  ,    0.261    ,0.517            ,  0.209  , 0.879  , 81.098 ,     227480 ,             4
22 ,6SE4JAo7T8C7XkFka5bbga ,Someone To Spend Time With                          ,Los Retros               ,       0.816 , 0.46  ,  9 ,-13.299  ,    0.0488   ,0.261            ,  0.106  , 0.963  , 89.57  ,     173954 ,             4
23 ,5XLXrm5JVMdOus1fWmTOFw ,Beneath the Mask                                    ,Lyn                      ,       0.717 , 0.466 ,  5 ,-12.434  ,    0.403    ,0.105            ,  0.161  , 0.644  ,147.966 ,     277880 ,             4
24 ,0RnxpSzxzwZgFQ0NahQr9K ,Easily                                              ,Bruno Major              ,       0.773 , 0.256 ,  7 ,-8.545   ,    0.491    ,0.00612          ,  0.144  , 0.357  ,118.893 ,     210240 ,             3
25 ,5o5WaO9pzPhXSGIrTIYVce ,Cherry Wine                                         ,grentperez               ,       0.74  , 0.563 , 11 ,-7.016   ,    0.34     ,0.0              ,  0.0824 , 0.577  ,104.958 ,     173286 ,             4
26 ,6EmGcKra63FXiRA6XsfAas ,Ghost                                               ,nelward                  ,       0.82  , 0.883 , 11 ,-6.741   ,    0.28     ,1.01e-05         ,  0.101  , 0.688  ,102.958 ,     157282 ,             4
27 ,1Bv3h7Vc4AaYA2BcSM3rVd ,All I Wanted                                        ,Paramore                 ,       0.494 , 0.723 ,  6 ,-4.559   ,    0.0192   ,0.0322           ,  0.134  , 0.152  ,144.036 ,     225787 ,             4
28 ,4OBZT9EnhYIV17t4pGw7ig ,Best Part (feat. H.E.R.)                            ,Daniel Caesar            ,       0.473 , 0.371 ,  4 ,-10.219  ,    0.793    ,0.0              ,  0.109  , 0.413  , 75.205 ,     209400 ,             4
29 ,5zd9TgduWbfFXwgnm3K3Rz ,Poppin' My Collar (feat. Project Pat)               ,Three 6 Mafia            ,       0.729 , 0.795 ,  7 ,-4.579   ,    0.354    ,0.0              ,  0.536  , 0.856  ,146.747 ,     176880 ,             4
30 ,769Ld8demNhMgVLAQcjTDn ,sun and moon                                        ,anees                    ,       0.815 , 0.442 ,  6 ,-7.462   ,    0.457    ,0.0              ,  0.101  , 0.706  , 90.019 ,     151508 ,             4
31 ,65j65yDSE06CNKAPjsHoJt ,Was It Something I Said                             ,MyKey                    ,       0.587 , 0.724 ,  6 ,-6.775   ,    0.618    ,0.000166         ,  0.157  , 0.837  ,106.994 ,     220588 ,             4
32 ,3pbAV1Q2j1mNW78wqegBGt ,A Love of Your Own                                  ,Average White Band       ,       0.523 , 0.544 ,  7 ,-7.89    ,    0.394    ,0.000438         ,  0.0699 , 0.603  ,134.517 ,     336039 ,             4
